id;name;address;department;category;longitude;latitude
840000392;CENTRE HOSPITALIER DE CARPENTRAS;RPT DE L'AMITIE 84208 CARPENTRAS CEDEX;84;355;5.0487605962781945;44.05555903295388
840002570;MECS LA VERDIERE;641 CHE DE LA VERDIERE 84140 AVIGNON;84;177;4.874310566753613;43.943576817770065
830026027;OPAL CENTRE PARENTAL;831 CHE DES PLANTADES 83000 TOULON;83;166;5.962443955720268;43.11100636050472
130793110;CENTRE DE PMI LA ROUSSE;1 PL DES BALADINS 13140 MIRAMAS;13;223;5.008500612917793;43.59368177456099
840000558;CTRE PNEUMO ROQUEFRAICHE CHI CAVAILLON;RTE DE ROQUEFRAICHE 84360 LAURIS;84;355;5.303902259495488;43.758434123518256
130015498;HJ PSY SECTEUR 23 CH MARTIGUES;15 R EDMOND ROSTAND 13700 MARIGNANE;13;355;5.204593952742948;43.41545194889431
830000311;CHI DE FREJUS SAINT RAPHAEL;240 AV DE SAINT LAMBERT 83608 FREJUS CEDEX;83;355;6.749176015854098;43.43955310844942
830202743;CHITS HOPITAL GEORGES CLEMENCEAU;421 AV 1ER BT INF MARINE PACIFIQUE 83130 LA GARDE;83;355;6.010214334400768;43.12412127634582
130792385;CENTRE PMI CAMP DU GRAND ARENAS;TRA COLGATE 13009 MARSEILLE;13;223;5.405841606621145;43.23314072290472
830000279;CH JEAN MARCEL DE BRIGNOLES;BD JOSEPH MONNIER 83175 BRIGNOLES CEDEX;83;355;6.065467963139496;43.40413717945749
830101655;MECS INSTITUTION BARTHELON;102 BD SALICIS 83200 TOULON;83;177;5.9055504104866525;43.13225071258334
040000093;CHI DE MANOSQUE LOUIS RAFFALLI;R AUGUSTE GIRARD 04101 MANOSQUE CEDEX;4;355;5.809675433992955;43.82719994406607
130019748;MECS LOU CANTOU;83 R CONSOLAT 13001 MARSEILLE;13;177;5.390092490824306;43.30150828095826
130811417;MAISON MERES ENFANTS MAELIS;33 BD BRISSAC 13014 MARSEILLE;13;166;5.405543459195584;43.33593687211828
830028296;MECS VILLA LES ACACIAS;107 BD MARECHAL JOFFRE TOULON 83000 TOULON;83;177;5.949415369530216;43.123739715392844
040000135;CHI DES ALPES DU SUD SITE DE SISTERON;4 AV DE LA LIBERATION 04200 SISTERON;4;355;5.943787449556679;44.19303570346129
130792419;CENTRE MEDICO-SOCIAL LE MERLAN;AV RAIMU 13014 MARSEILLE;13;223;5.398084738326727;43.329885297222525
130797020;HJ L'ORANGER SECT 13I11;QUA FOURCHON 13637 ARLES CEDEX;13;355;4.628108813985113;43.65800187558368
830009759;PMI;254 AV RAGEOT DE LA TOUCHE 83000 TOULON;83;223;5.924093756585455;43.12739465642618
130045057;HJ PSY SECTEUR 24 CH MARTIGUES;VLA LES PINS ANC RTE MARSEILLE 13500 MARTIGUES;13;355;5.072223152583998;43.397649473347194
130781248;MECS SAINT MICHEL;19 AV MARCEL PAGNOL 13090 AIX EN PROVENCE;13;177;5.42421841033724;43.52734838052608
130810203;MECS LES MATINS BLEUS;3 CHE DE LA COMBETTE 13210 ST REMY DE PROVENCE;13;177;4.828782801192267;43.7875862431662
830004065;MECS LA PALMERAIE;33 IMP DES ROSSIGNOLS 83130 LA GARDE;83;177;6.001253448885892;43.12136675388713
840023782;CHICL - INSTITUT READAPT SPE;235 R DE GORDES 84300 CAVAILLON;84;355;5.053613427001678;43.845148187447535
830208294;HJ LA MAGDELEINE CHI FREJUS;452 R DU GENERAL BROSSET 83600 FREJUS;83;355;6.748391614600372;43.43459323260998
840019574;MECS LES MATINS BLEUS SUD VAUCLUSE;9 CLOS DE L'ISLE 84800 L ISLE SUR LA SORGUE;84;177;5.0690930451297715;43.914946232321256
130796972;USMP MAISON CENTRALE;R NICOLAS COPERNIC 13200 ARLES;13;355;4.634093305355999;43.70264688107615
840019228;CH AVIGNON ANTENNE SMUR D'APT;RTE DE MARSEILLE 84400 APT;84;355;5.362514993234362;43.86232612759556
130012768;CH EDMOND GARCIN MOYEN SEJOUR AUBAGNE;AV DU 21 AOUT 44 MAIS DU PARC 13400 AUBAGNE;13;355;5.561112469617066;43.287268403880816
130051808;MECS MNA HAS;22 R DES PETITES MARIES 13001 MARSEILLE;13;177;5.378402977910836;43.3011406619378
130783210;MECS FOYER CALENDAL;42 R DES VERTUS 13005 MARSEILLE;13;177;5.3920690424424835;43.29060903885763
040788887;HJ PSY GEN SISTERON;1 R SAINT URSULE 04200 SISTERON;4;355;5.944961939795476;44.19407782817624
830017604;HJ PSY IJ 83I04 CHI FREJUS;QUA COLOMBIERS IMP FOND MARCEAU 83310 COGOLIN;83;355;6.532614636698267;43.24479460169532
830014858;MECS LA DEFERLANTE;509 RTE DES CAMPS 83200 LE REVEST LES EAUX;83;177;5.933441255021285;43.175171593425375
830028262;MECS LA MAISON DES AMANDIERS;107 BD MARECHAL JOFFRE 83000 TOULON;83;177;5.949415369530216;43.123739715392844
130025448;CENTRE MATERNEL LA CHAUMIERE;5 R HECTOR BERLIOZ 13640 LA ROQUE D ANTHERON;13;166;5.311415456520569;43.71176361029447
830000295;CH DE HYERES MARIE JOSEE TREFFOT;AV MARECHAL JUIN 83407 HYERES CEDEX;83;355;6.110078104098498;43.11429988168214
830027850;MECS LE PATIO D'ISIS;255 AV CHARLES DE GAULLE 83500 LA SEYNE SUR MER;83;177;5.889887113085944;43.08007328804487
130051816;MECS MNA HPF;15 R HONNORAT 13003 MARSEILLE;13;177;5.380691436285336;43.303980105218734
040786626;IAP MECS;CHE DES EMBARRADES 04100 MANOSQUE;4;177;5.799858071460487;43.83108318143367
130781552;MECS LA LOUVE;936 RTE DE LA LOUVE 13400 AUBAGNE;13;177;5.560333144414898;43.307065193995044
830017042;HJ PSY GEN 83G10 CHI FREJUS;IMP JEAN MONOD 83310 COGOLIN;83;355;6.519753896243812;43.25655559215501
830024105;MECS  LA DRAILLE;182 AV DE LA CAUQUIERE 83310 COGOLIN;83;177;6.529914131109835;43.248810615663224
830000337;CENTRE HOSPITALIER DE SAINT TROPEZ;RPT GAL DIEGO BROSSET RD559 83580 GASSIN;83;355;6.585457514241668;43.228610836348096
830206298;CH MOYEN SEJOUR LA SOURCE DE BRIGNOLES;AV DE LATTRE DE TASSIGNY 83177 BRIGNOLES CEDEX;83;355;6.074022607381902;43.40369470557383
840017339;CENTRE PARENTAL L'OUSTAU;395 R PIERRE SEGHERS 84000 AVIGNON;84;166;4.8381844693262614;43.9266411282054
130784374;MECS CENTRE JEAN-BASTIDE FOUQUE;161 R FRANCOIS MAURIAC 13010 MARSEILLE;13;177;5.42683127820958;43.26787542130216
840013015;FOYER LES SOURCES;86 AV LES SOURCES 84000 AVIGNON;84;177;4.81768751916831;43.93346101319131
130784531;MECS LA REYNARDE;131 AV DE SAINT-MENET 13011 MARSEILLE;13;177;5.4973035565561945;43.28933887142787
130810823;MECS LES MARCOTTES;1057 AV CLEMENT ADER 13340 ROGNAC;13;177;5.223087534059352;43.50063340215624
830103255;MECS LE PATIO;73 R DE LA VIGIE 83000 TOULON;83;177;5.932516729751823;43.10521703419987
130011968;MECS PEPS;134 AV DE LA ROSE 13013 MARSEILLE;13;177;5.424949570774497;43.327936154121346
830004081;MECS LES HIPPOCAMPES;66 IMP SEVERIN DECUERS 83600 FREJUS;83;177;6.735651895168102;43.42871807195009
830021093;HJ AMB G12-13 PSY GEN CH DRAGUIGNAN;BD JOSEPH COLLOMP 83300 DRAGUIGNAN;83;355;6.461558983413971;43.54654595369767
830028031;MECS VENUS;179 CHE LE COGNET 83720 TRANS EN PROVENCE;83;177;6.481799958190081;43.51182423182564
840000343;CENTRE HOSPITALIER DU PAYS D'APT;RTE DE MARSEILLE 84405 APT CEDEX;84;355;5.362514993234362;43.86232612759556
830000287;CH LA DRACENIE DE DRAGUIGNAN;RTE DE MONTFERRAT 83007 DRAGUIGNAN CEDEX;83;355;6.45517662364848;43.546035240225514
040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;QUA SAINT CHRISTOPHE 04995 DIGNE LES BAINS CEDEX 9;4;355;6.187212491045508;44.077186548706365
130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;BD LAMARTINE 13708 LA CIOTAT CEDEX;13;355;5.607749980700025;43.1795449728921
130051824;MECS HOPE MNA;7 R COUGIT 13015 MARSEILLE;13;177;5.368494623850201;43.32183907065217
830009379;HJ TRANS EN PROVENCE CHI FREJUS;QUA VARAYON 83720 TRANS EN PROVENCE;83;355;6.485410825966708;43.50344627137649
130051782;MECS MNA ADDAP13;15 CHE DES JONQUILLES 13013 MARSEILLE;13;177;5.432341631281922;43.32615370188383
